165.96, 152.68, 145.48, 168.6, 168.72, 166.52, 148.32, 144.64, 141.32, 121.36, 189.8, 149.4, 143.48, 16.9999529411113, 48.8112446061356, 49.8374317155288, 36.3912077293403, 33.4359327670098, 20.4687469083967, 18.0038218164922, 15.5765978313623, 13.3318265815304, 5.20676483048735, 35.7625502446344, 20.3607465481991, 20.3157475865399, 0
152.96, 101.28, 95.32, 138.36, 158.08, 160.36, 141.44, 135.28, 136.04, 127.56, 180.92, 143.72, 141, 21.6175484271459, 15.5551149143939, 17.1784050481993, 26.2752811592949, 17.5223742683462, 10.1346139541672, 7.93513704985617, 17.2731467891638, 7.09636526681089, 9.07779708960274, 31.781655085914, 12.1145202133638, 16.3095064303001, 0
133.12, 90.92, 83.68, 143.56, 160.76, 180.6, 162.08, 161.76, 155.72, 140.28, 173.44, 168.36, 156.44, 16.2931151103771, 11.9429309635449, 12.0622385982039, 47.943366590176, 38.56452255636, 22.5051105307217, 14.7808524787984, 14.0150775952187, 11.9516358712939, 6.5697488536473, 21.2359694857569, 29.1353805535469, 31.0986559195088, 0
122.4, 91.84, 84.52, 140.2, 168.6, 186.92, 168.08, 158.24, 164.2, 151.8, 196.8, 190.44, 179.72, 11.7575507653593, 16.8158972404092, 17.7428746261704, 35.9988888717416, 26.6187903556867, 10.221232802358, 7.94944023186539, 12.0109283571254, 5.76888204074238, 3.91918358845308, 18.1262240965955, 22.553190461662, 26.7544687856066, 0
119.4, 90.52, 76, 104.08, 124, 146.76, 134.96, 127.08, 134.24, 132, 219, 147.52, 136.8, 5.38887743412299, 34.0248379863887, 32.1446729645831, 36.8824294210672, 27.3232501727009, 17.6686841615328, 12.9258810144609, 13.8012173376119, 11.4482487743759, 9.79795897113271, 0, 21.9164230658198, 21.3147836019979, 0
146.24, 94.68, 93, 146.2, 164, 176.64, 156.76, 152.8, 151.24, 121.8, 146, 156.32, 143.96, 12.0441853190658, 8.39866656082976, 8.04487414444751, 35.1704421354068, 27.7776888887467, 24.6882644185451, 18.265333284668, 23.8863978029338, 19.4674703030466, 6.78232998312527, 0, 21.62909152045, 16.5782508124349, 0
128.72, 88.84, 90.84, 153.04, 182.96, 203.12, 180.12, 178.52, 170.68, 134.32, 146, 171.28, 151.4, 15.0506345381183, 13.4392856953039, 13.9762083556307, 41.0302132580371, 18.1823650826838, 20.6054750005915, 16.117865863693, 20.1139155810101, 13.1505741319533, 8.0633491800864, 0, 14.1124625774526, 11.0923396990896, 0
112.16, 97.12, 105.92, 112, 150.96, 186.56, 173.36, 164.48, 165.92, 144.4, 159.12, 145.08, 116.72, 5.36417747655687, 26.9374386310206, 32.4134786778587, 35.5876383032086, 31.3068427025147, 17.9890633441544, 13.9681924385369, 23.8312735706676, 16.4995030228186, 5.01198563445667, 27.061884635036, 26.3543848344066, 28.7882198129721, 0
106.4, 72.64, 69.96, 124.36, 164.24, 192.96, 175.84, 160.48, 168.08, 149.2, 211.6, 172.44, 145.52, 3.2, 15.6483353747292, 23.8972467033338, 57.3814464788053, 23.9069529635209, 25.8170176434072, 22.4190633167401, 30.1637132992608, 18.7486959546524, 4.4, 14.8, 18.8638914331057, 18.3501934594707, 0
139.8, 137.56, 124.48, 141.84, 124.8, 133.64, 122.4, 120.44, 121.72, 119.8, 219, 138.04, 134.92, 27.6, 24.7355291028917, 23.567978275618, 24.0859793240798, 29.0819531668697, 7.15474667615842, 7.66811580507233, 15.5719748265915, 12.0847672712386, 0.4, 0, 18.6557873058201, 28.8359775280811, 0
150.4, 103.6, 98.28, 133.76, 156.88, 153.84, 137.32, 133, 135.08, 129.8, 146, 144.4, 143.88, 26.4544892220583, 20.3174801587205, 21.7743335144844, 23.544477059387, 27.8285033733401, 12.285536211334, 10.6535252381547, 15.2157812812882, 14.7239125235109, 3.42928563989645, 0, 23.7048518240465, 27.9661509686263, 0
112.4, 95.44, 96.36, 156.92, 183.84, 189.76, 167.88, 165.68, 158.84, 141.2, 146, 165.12, 151.16, 6.8585712797929, 15.9300470809097, 19.7947063630659, 43.2341716701037, 29.958210894511, 24.9756361280349, 17.7094776885147, 21.9885788535776, 17.5286736520479, 8.81816307401944, 0, 26.5530713854349, 20.7242466690589, 0
103.2, 86.92, 100.96, 103.88, 148.4, 211.12, 197.6, 203.32, 190.24, 153.2, 153.2, 158.28, 113.6, 1.6, 18.7870593760705, 25.1117183800711, 30.9791155457996, 25.0039996800512, 33.1135259372964, 29.6661423174635, 38.2974881682859, 29.4839346085288, 2.4, 14.4, 19.4494627175148, 12.4096736459909, 0
100, 80.8, 82.28, 136.52, 173.68, 218.64, 198.16, 171.84, 191.44, 158, 182, 186.44, 152.48, 0, 20.4254742906989, 26.6931002320824, 54.2041474427926, 13.8440456514705, 18.0729189673389, 22.2417265516866, 29.077386402495, 25.7092668117938, 0, 0, 8.63055038801118, 19.0916107230375, 0
195, 190.64, 181.6, 174.56, 155.76, 152.12, 137.12, 144.96, 140.76, 119, 219, 163.24, 162.68, 0, 66.0041695652631, 70.0605452448095, 57.547948703668, 49.8094609486993, 24.700315787455, 18.2676106812029, 25.4613118279479, 19.3768521695347, 0, 0, 34.0026822471404, 44.0469930869293, 0
167.8, 127.44, 125.48, 155.12, 176.2, 168.32, 151.12, 144.16, 145.16, 129.6, 146, 169.56, 169.16, 25.9645912735017, 42.302794233951, 49.1553618641954, 42.7787984871011, 27.9728439741118, 14.3825449764637, 13.9465264492633, 23.1476651090342, 15.924019593055, 0.489897948556636, 0, 30.5274695970695, 31.4015031487348, 0
124, 96.68, 97.88, 164.36, 172.28, 180.16, 158.72, 160.16, 149.64, 139.8, 160.4, 153.88, 145.4, 14.6969384566991, 15.7040631684924, 13.228212275285, 32.8729432816716, 34.9371092106946, 24.5090677097274, 19.0231858530584, 23.92601930953, 16.2009382444351, 13.2272446110292, 17.6363261480389, 30.5801504247445, 25.6109351644957, 0
102, 81.12, 84.08, 97.24, 140.68, 188, 172.56, 163.36, 169.84, 157, 189.4, 159, 128.64, 8, 12.30713614128, 12.1718363446113, 14.9004161015725, 18.9160672445411, 15.3284050050878, 17.5569473428612, 28.385742900266, 20.230037073619, 2, 14.8, 15.8139179206166, 18.4279787280103, 0
86, 82.96, 86.88, 139.48, 164.92, 203.36, 184.88, 177.92, 177.12, 161, 219, 176.28, 148.48, 0, 18.9092146849096, 22.5802037191873, 50.677900508999, 24.2073046826779, 20.7535635494245, 19.3686757420325, 21.753013584329, 17.161165461588, 0, 0, 19.7332612611296, 21.2623987357965, 0
219, 145.04, 136.88, 142.28, 150.4, 172.52, 157.36, 160.92, 158.48, 144, 219, 161.2, 145.8, 0, 82.5379815600067, 85.1616439484349, 77.9735955307949, 45.1929197994553, 23.9033386789377, 16.0720378297215, 22.747166856556, 13.6619764309561, 0, 0, 28.436596139482, 40.5935955539787, 0
162.52, 137.96, 136.16, 166.32, 175.32, 162.4, 142.72, 136.24, 137.24, 135.52, 163.28, 170.92, 168.76, 20.1159041556675, 39.2901819797262, 37.5517562838278, 27.843448062336, 17.3036874682826, 7.95487272054054, 5.9700586261778, 11.9508326069776, 7.93110332803703, 5.29240965912504, 17.9855942353874, 17.8928365554487, 17.7590089813593, 0
123.52, 84.24, 86.88, 143.32, 159.56, 182.72, 164.4, 170.92, 156.92, 139.8, 148.88, 151.4, 137.64, 18.310914777804, 11.6868473079783, 15.171868704942, 48.8046882993837, 26.1672772752535, 23.5805343450907, 21.9070764822694, 23.9514842963855, 19.9618035257338, 11.310172412479, 9.76655517570039, 25.8456959666402, 19.9296362234738, 0
99.76, 84.56, 88.72, 161.28, 184.44, 213.36, 192.4, 178.64, 180.72, 154.12, 154.68, 185.08, 157.52, 4.01277958527502, 12.4099315066603, 13.2981803266462, 34.5050952759154, 19.8536243542583, 17.5017256292058, 14.1901374200534, 23.0336796886646, 15.1142846340804, 1.84, 18.5789558371831, 20.5794460566848, 14.9187667050598, 0
94, 98.44, 100.48, 156.36, 180.2, 197.68, 176.08, 172.88, 169.76, 156.2, 160.6, 169.4, 151.28, 4, 25.4465400398561, 27.1781088378128, 39.9548545235745, 16.2037032804233, 12.0688690439494, 11.4365029620072, 17.4821508974153, 14.5389958387779, 2.4, 29.2, 20.00399960008, 13.2740950727347, 0
